1,1.1,图文问诊,298.00,48小时,0.10
2,1,电话问诊,398.0,15分钟,26.53
3,1,门诊加号,0.0,,
4,1,私人医生,2000.0,1个月,0.05
5,2,图文问诊,42.0,48小时,0.01
6,3,图文问诊,199.0,48小时,0.07
7,3,电话问诊,166.0,15分钟,11.07
8,3,门诊加号,0.0,,
9,3,视频问诊,210.0,15分钟,14.0
10,4,图文问诊,79.0,48小时,0.03
11,4,电话问诊,65.0,10分钟,6.5
12,4,门诊加号,0.0,,
13,4,私人医生,690.0,1个月,0.02
14,5,图文问诊,49.0,48小时,0.02
15,5,电话问诊,100.0,15分钟,6.67
16,5,视频问诊,200.0,15分钟,13.33
17,5,私人医生,500.0,7天,0.05
18,6,图文问诊,200.0,48小时,0.07
19,7,图文问诊,189.0,48小时,0.07
20,7,电话问诊,179.0,15分钟,11.93
21,7,私人医生,689.0,1个月,0.02
22,8,图文问诊,99.0,48小时,0.03
23,8,电话问诊,100.0,1015分钟,0.1
24,8,视频问诊,150.0,1510分钟,0.1
25,8,私人医生,1000.0,1个月,0.02
26,9,图文问诊,158.0,48小时,0.05
27,9,电话问诊,240.0,10分钟,24.0
28,10,图文问诊,90.0,48小时,0.03
29,10,电话问诊,99.0,15分钟,6.6
30,10,门诊加号,0.0,,
31,10,私人医生,500.0,1个月,0.01
32,11,图文问诊,180.0,48小时,0.06
33,12,图文问诊,68.0,48小时,0.02
34,12,电话问诊,98.0,10分钟,9.8
35,13,图文问诊,200.0,48小时,0.07
36,13,电话问诊,200.0,15分钟,13.33
37,13,视频问诊,229.0,15分钟,15.27
38,14,图文问诊,128.0,48小时,0.04
39,14,电话问诊,200.0,15分钟,13.33
40,14,门诊加号,0.0,,
41,14,视频问诊,500.0,15分钟,33.33
42,14,私人医生,600.0,1个月,0.01
43,15,图文问诊,100.0,48小时,0.03
44,16,图文问诊,68.0,48小时,0.02
45,17,图文问诊,99.0,48小时,0.03
46,17,电话问诊,100.0,1510分钟,0.07
47,17,视频问诊,200.0,15分钟,13.33
48,17,私人医生,600.0,1个月,0.01
49,18,电话问诊,45.0,10分钟,4.5
50,18,门诊加号,0.0,,
51,19,图文问诊,128.0,48小时,0.04
52,19,电话问诊,128.0,15分钟,8.53
