1,杜荣昌,副主任医师,复旦大学附属华山医院,皮肤科,上海,100,295,1.1,职业病皮肤病、化妆品不良反应、银屑病、痤疮、荨麻疹、皮炎、秃发、毛发、湿疹类常见病及各种疾病的诊治,杜荣昌，男，主任医师，副教授，擅长职业病皮肤病、化妆品不良反应、银屑病、痤疮、荨麻疹、皮炎、秃发、毛发、湿疹类常见病及各种疾病的诊治。,364,0,43,210,2023-08-07 11:54:42,100.1,100.2,100.3
2,倪娜,主治医师,上海市皮肤病医院,皮肤科,上海,100,184.0,1.0,各种常见皮肤病的诊治及皮肤疾病诊断，尤以皮肤肿瘤、脱发性疾病的诊治见长,倪娜，女，南京医科大学医学硕士，主治医师。擅长:各种常见皮肤病的诊治及皮肤疾病诊断，尤以皮肤肿瘤、脱发性疾病的诊治见长。,1200.0,0.0,170.0,14.0,2024-12-17 17:04:04,0.0,0.0,0.0
3,陈佳,主任医师,上海市皮肤病医院,皮肤科,上海,100,88.0,0.0,皮肤病理诊断、皮肤瘙痒、血管炎、白癜风、硬皮病、皮肌炎、红斑狼疮,清华大学协和医学院医学博士，哈佛医学院麻省总医院访问学者。中国中西医结合学会皮肤性病专业委员会病理学组委员，上海市女医师协会皮肤美容美学分会委员，上海中医药学会美容分会委员，上海市中西医结合学会皮肤性病学分会青年委员，上海市药理学会皮肤病分会青年委员，上海市医学会皮肤性病学分会色素性疾病学组组员。申康党委系统优秀共产党员，上海市皮肤病医院先进工作者。学习并从事皮肤病临床及病理诊断工作十余年。善于结合临床及病理表现诊断疑难少见皮肤病，对白癜风及瘙痒性皮肤病的治疗有一定心得。,576.0,0.0,72.0,47.0,2023-05-16 11:50:55,100.0,100.0,100.0
4,干皆诚,副主任医师,上海交通大学医学院附属新华医院,皮肤科,上海,93,202.0,0.0,擅长儿童特应性皮炎、湿疹及成人皮肤常见病及疑难病的诊治！在性病的诊断及治疗特别对于顽固性尖锐湿疣、性病后综合征有着丰富的临床经验，还擅长激光美容、皮肤良恶性肿瘤诊断和手术治疗。,干皆诚，男，副主任医师，副教授，1962年出生，1989年毕业于蚌埠医学院，硕士.1989年进入新华医院皮肤科工作至今。参编著作3部，发表论文26篇，其中第一作者23篇、性病相关论文11篇），擅长性病的诊断及治疗，特别对于顽固性尖锐湿疣、性病后综合征有着丰富的临床经验，还擅长激光美容、皮肤良恶性肿瘤诊断和手术治疗。,1547.0,0.0,202.0,15.0,2025-05-28 09:25:59,87.0,87.0,87.0
5,刘孟国,主治医师,复旦大学附属华山医院,皮肤科,上海,99,7314.0,56.0,湿疹、荨麻疹、过敏性皮炎、痤疮、毛囊炎、白癜风、黄褐斑、带状疱疹/单纯疱疹、寻常疣/扁平疣/跖疣/传染性软疣、手/足癣/股癣/体癣等各种常见皮肤病的诊治。,1、复旦大学皮肤性病学博士。,,,,,,,,
2、擅长手术治疗各种良恶性皮肤肿瘤（色素痣、黑色素瘤、皮肤囊肿、纤维瘤等等），通过皮肤影像学技术（皮肤镜等）诊治皮肤病，白癜风等色素性皮肤病，湿疹、荨麻疹、过敏性皮炎、痤疮、毛囊炎、带状疱疹/单纯疱疹、寻常疣/扁平疣/跖疣/传染性软疣、手/足癣/股癣/体癣等各种常见皮肤病的诊治。,,,,,,,,,,,,,,,,,,
3、复旦大学附属华山医院“十佳科技精英”。,,,,,,,,,,,,,,,,,,
4、复旦大学附属华山医院“华秀奖”人才计划。,,,,,,,,,,,,,,,,,,
5、复旦大学上海医学院优秀医医师。,,,,,,,,,,,,,,,,,,
6、主持完成国家自然科学基金1项，作为骨干成员参与申请国自然面上项目3项、青年基金5项、上海市自然科学基因1项。,,,,,,,,,,,,,,,,,,
7、发表SCI论文10余篇。,,,,,,,,,,,,,,,,,,
8、Molecular Therapy杂志（IF=12.1）、Frontiers in Immunology杂志（IF=5.7）、Arthritis Research&Therapy杂志（IF=4.9）、Heliyon杂志（IF=3.4）、Anais Brasileiros de Dermatologia杂志（IF=2.6）审稿人。,41952,0,6966,6954,2021-10-21 11:58:21,96,96.0,95.0,,,,,,,,,,
6,赵思佳,主治医师,上海市皮肤病医院,皮肤科,上海,100,958.0,6.0,三甲医院脱发门诊主治医师，线下门诊脱发案例累计6万人次。擅长脱发（包括脂溢性脱发，斑秃及各类疑难脱发），白癜风，黄褐斑等色素性皮肤疾病的诊断及治疗,北京协和医学院（清华大学医学部）皮肤科博士；同济大学附属/上海市皮肤病医院 皮肤外科 主治医师,7504.0,0.0,926.0,32.0,2024-09-04 17:50:18,100.0,100.0,100.0
7,应作霖,副主任医师,上海市第一人民医院,皮肤科,上海,99,1758.0,17.0,擅长各种皮肤病和性病，包括尖锐湿疣，梅毒，艾滋病，生殖器疱疹，淋病，衣原体或支原体感染，非淋尿道炎，包皮龟头炎，外阴溃疡，性病检查和风险评估，真菌性皮肤病，灰指甲，细菌性皮肤病，病毒性皮肤病，HPV感染，脱发，痤疮，白癜风，银屑病，荨麻疹，湿疹，皮炎，瘙痒性皮肤病，过敏性皮肤病等等。,应作霖，博士，上海市第一人民医院皮肤性病科副主任医师。中国协和医科大学皮肤性病学博士。美国德克萨斯大学访问学者。上海市医学会皮肤科分会性病学组委员；上海市性医学专业委员会性病学组委员；中华医学会皮肤性病学分会青委会委员；上海市医疗鉴定专家库皮肤科专家。2014年8月至2015年8月受上海市教委的资助公派赴美国留学，在美国的德克萨斯大学安德森癌症中心皮肤科做访问学者。现在上海市第一人民医院工作。,15520.0,8.0,1544.0,618.0,2020-05-09 17:48:53,98.0,98.0,98.0
8,黄佳,主治医师,复旦大学附属华山医院,皮肤科,上海,99,3574.0,94.0,将心比心，用爱心耐心细心，换患者的安心舒心贴心！,痤疮、毛囊炎、湿疹、荨麻疹、过敏性皮炎、白癜风、银屑病、脱发、黄褐斑、带状疱疹、疣、甲癣/体癣等各种常见皮肤病的诊治。,,,,,,,,
擅长痘印痘坑、疤痕的修复治疗，注射美容等皮肤年轻化治疗。,16480,5,3281,3150,2024-04-01 11:22:42,95,96.0,96.0,,,,,,,,,,
9,张佳,副主任医师,上海交通大学医学院附属新华医院,皮肤科,上海,99,763.0,4.0,常见皮肤病如湿疹，皮炎，荨麻疹，银屑病等 及遗传性皮肤病的诊治,,,,,,,,,
（如 I型神经纤维瘤病，Legius综合征等咖啡斑、“胎记”相关遗传病；白化病，色素失禁症，着色性干皮病等色素相关遗传病；,,,,,,,,,,,,,,,,,,
遗传性大疱表皮松解症等疱病；鱼鳞病，掌跖角皮症等角化性疾病；先天性无汗；先天性毛发异常；血管畸形，皮肤发育异常等综合征及未知疑难遗传性皮肤病）,上海新华医院遗传与罕见皮肤病科副主任。,,,,,,,,,,,,,,,,,
主要负责完成了国内大样本的1型神经纤维瘤病（NF1）基因突变研究，国际上首次提出了节段型NF1的早期诊断线索，并提出和验证了一个新的NF1的早期诊断标准。对咖啡斑，色素沉着，镶嵌现象相关疾病有大量研究。,,,,,,,,,,,,,,,,,,
研究成果多次在国际与全国皮肤科大会上有发言交流,,,,,,,,,,,,,,,,,,
主持1项上海市扬帆人才计划及1项国家自然科学基金青年项目,4864,0,608,435,2020-12-16 11:54:30,98,98.0,98.0,,,,,,,,,,
10,高延瑞,主治医师,上海市皮肤病医院,皮肤科,上海,100,437.0,2.0,擅长玫瑰痤疮，痤疮，面部敏感性皮肤，特应性皮炎，湿疹，荨麻疹，过敏性皮炎，色素痣等疾病，倡导理性护肤。,主治医师，硕士。熟练掌握常见皮肤病以及疑难疾病的诊疗。长期从事皮肤与化妆品相关研究多年，倡导皮肤健康管理，理性护肤。在国内外核心期刊多篇，参与多项课题研究工作。,4329.0,0.0,469.0,362.0,2023-07-04 14:04:35,100.0,100.0,100.0
11,周丽娟,主治医师,复旦大学附属华山医院,皮肤科,上海,99,128.0,3.0,毛发(斑秃，女性型脱发，雄激素性脱发，脂溢性皮炎，头皮和毛发的健康管理等)，皮肤美容(痤疮，玫瑰痤疮，面部皮炎，肌肤抗衰等)，过敏性疾病(湿疹，特应性皮炎，荨麻疹等),学历：博士，毕业于浙江大学医学院,,,,,,,,
工作：复旦大学附属华山医院 皮肤科,,,,,,,,,,,,,,,,,,
社会任职：上海毛发医学工程技术研究中心组成员,1176,0,126,79,2023-07-26 09:31:12,100,100.0,100.0,,,,,,,,,,
12,赵俊,主治医师,复旦大学附属华山医院,皮肤科,上海,100,135.0,0.0,皮肤科常见疾病过敏、脱发、痤疮、湿疹、荨麻疹、特应性皮炎等疾病的诊断及治疗,华山医院皮肤科主治医师,,,,,,,,
脱发专诊医师,917,0,128,88,2024-09-13 17:44:17,100,100.0,100.0,,,,,,,,,,
13,王上上,副主任医师,复旦大学附属华山医院,皮肤科,上海,100,88.0,0.0,过敏性皮炎、湿疹、特应性皮炎等过敏性疾病，甲病、痤疮、斑秃、银屑病、色素痣、黑色素瘤等,王上上，男，医学博士，复旦大学附属华山医院皮肤科医生，专业特长为皮肤免疫及皮肤外科，擅长过敏性皮炎，湿疹，特应性皮炎，银屑病等疾病的诊疗，以及皮肤肿瘤和甲病的外科治疗。上海市医师协会皮肤科分会青年委员，上海市药理协会青年委员。,1090.0,6.0,90.0,30.0,2023-11-28 10:13:23,100.0,100.0,100.0
14,强燕,副主任医师,上海市皮肤病医院,皮肤科,上海,100,43.0,0.0,擅长特应性皮炎、痤疮、玫瑰痤疮、脱发，手足湿疹、重症药疹、皮肤疖肿、儿童皮肤病中西医结合诊治及皮肤良、恶性肿瘤的手术,上海市中医药学会第二届美容分会副主任委员,,,,,,,,
上海市女医师协会第二届皮肤美容美学专业委员会常务委员,,,,,,,,,,,,,,,,,,
上海市医师协会皮肤与性病科医师分会第三届委员,,,,,,,,,,,,,,,,,,
九三学社上海市第十八届科普工作委员会委员,,,,,,,,,,,,,,,,,,
上海市皮肤科临床质量控制中心专家委员,450,0,43,4,2020-08-14 10:44:07,100,100.0,100.0,,,,,,,,,,
15,耿怡,主治医师,上海市皮肤病医院,皮肤科,上海,67,49.0,0.0,擅长常见及部分罕见皮肤病、皮肤肿物的诊断与治疗。,耿怡，北京协和医学院皮肤病与性病学博士,350.0,0.0,45.0,2.0,2025-04-22 17:23:25,0.0,0.0,0.0
16,汤芦艳,主治医师,复旦大学附属华山医院,皮肤科,上海,99,538.0,5.0,擅长白癜风、荨麻疹，皮炎湿疹，带状疱疹，皮肤癣菌病，痤疮，脂溢性皮炎，硬皮病和白癜风等常见皮肤病的诊治,皮肤性病学博士，复旦大学附属华山医院皮肤科，主治医师。从事临床工作多年，主要擅长荨麻疹，皮炎湿疹，带状疱疹，皮肤癣菌病，痤疮，脂溢性皮炎，硬皮病和白癜风等常见皮肤病的诊治。尤其擅长白癜风的诊治以及光疗，长期从事白癜风专病门诊，注重光疗、外科手术等综合治疗。研究方向专注于白癜风的发病机制及其诊治研究，对白癜风有独到的经验见解，发表SCI论文10余篇。主持上海市体育科技项目1项，参与多项国家自然科学基金、上海市科委课题。参与编写专著《皮肤激光医学与美容》、《现代皮肤病学》， 参与翻译《皮肤病学》。,4788.0,0.0,516.0,404.0,2024-03-31 09:15:46,95.0,95.0,95.0
17,金尚霖,主治医师,复旦大学附属华山医院,皮肤科,上海,100,1995.0,19.0,色素性疾病（黄褐斑、白癜风、黑变病等）、痤疮（青春痘）、带状疱疹、湿疹、荨麻疹、脱发、斑秃、蕈样肉芽肿等疾病。华山医院皮肤科色素病团队成员，华山医院皮肤淋巴瘤团队成员。,临床医学博士，毕业于复旦大学临床医学。曾赴加拿大英属哥伦比亚大学、泰国皇家朱拉隆功大学交流学习。曾获上海市优秀毕业生、复旦大学优秀住院医师。复旦大学附属华山医院黄褐斑团队和皮肤淋巴瘤团队成员。研究方向：色素性疾病和皮肤淋巴瘤。已发表多篇SCI期刊论文，多次国内外会议交流，参与多项市级国家级课题，翻译编写多本专著。,23380.0,4.0,2334.0,1700.0,2023-11-12 09:56:53,100.0,100.0,100.0
18,姜南雁,主治医师,上海交通大学医学院附属新华医院,皮肤科,上海,99,459.0,3.0,常见性病性病去梅毒，尖锐湿疣，生殖器疱疹，支原体，衣原体，HIV感染的诊疗，常见皮肤病如湿疹，特应性皮炎，带状疱疹，结缔组织病等的诊疗,皮肤性病学专业博士，主治医师,3087.0,0.0,421.0,226.0,2024-08-27 17:46:30,89.0,89.0,89.0
