1,1.1,a***7,null,电话咨询,2024-04-16,非常满意,非常满意.1,一般,5
2,1,j***g,,图文咨询,2023-10-24,非常满意,满意,满意,5.0
3,1,j***f,,图文咨询,2023-10-19,非常满意,非常满意,一般,5.0
4,2,u***u,,图文咨询,2025-07-24,非常满意,非常满意,满意,5.0
5,2,旋***儿,,图文咨询,2025-07-17,非常满意,非常满意,非常满意,5.0
6,3,j***I,医生很认真，答复很满意，谢谢！,电话咨询,2025-03-09,非常满意,非常满意,满意,5.0
7,3,哇***萱,,图文咨询,2025-07-22,非常满意,非常满意,满意,5.0
8,3,j***l,,图文咨询,2025-05-04,非常满意,非常满意,一般,5.0
9,3,1***x,,图文咨询,2024-01-08,非常满意,非常满意,非常满意,5.0
10,3,j***8,,图文咨询,2023-09-21,非常满意,非常满意,满意,5.0
11,4,e***1,非常的认真,健康咨询,2025-06-19,,非常满意,非常满意,5.0
12,4,j***财,您如同花朵般美丽，感谢您给我的专业意见，这束花代表我深深的感激。,图文咨询,2025-07-16,非常满意,非常满意,非常满意,5.0
13,4,4***0,医生人真的特别特别好，知道我想问的问题是什么，知道我焦虑的点在哪里，知道我怕留疤痕，每次都会回复很大一段文字，让我安心，回答的问题特别特别专业，并不因为是网络问诊就不仔细，反而把各个方面都说的特别详细，特别感谢这个医生!,健康咨询,2025-06-23,非常满意,非常满意,一般,5.0
14,4,w***s,医生诊断的非常精准,健康咨询,2025-06-20,非常满意,非常满意,满意,5.0
15,4,会***丹,大夫很专业。很耐心,健康咨询,2025-06-11,非常满意,非常满意,非常满意,5.0
16,5,茉***斯,非常专业，非常详细,图文咨询,2024-01-09,,非常满意,满意,5.0
17,5,j***h,刘医生敬业，亲切。给了全面的用药、饮食及护肤指导。非常满意。,图文咨询,2023-09-22,,非常满意,满意,5.0
18,5,0***n,给了治疗建议，对偏远山区的百姓是种福利,图文咨询,2023-01-13,,非常满意,一般,5.0
19,5,j***0,十分敬业,图文咨询,2022-09-21,,非常满意,非常满意,5.0
20,5,j***p,有很大帮助。,图文咨询,2024-01-29,,非常满意,满意,5.0
21,5,j***f,谢谢,图文咨询,2023-02-16,,非常满意,一般,5.0
22,5,羊***子,医生医术精湛，有耐心,图文咨询,2025-06-23,非常满意,非常满意,一般,5.0
23,5,很***n,专业，耐心，好评,图文咨询,2025-05-17,非常满意,非常满意,非常满意,5.0
24,5,j***8,根据患者的实际情况，给出合理治疗方案，为患者着想。,图文咨询,2025-05-14,非常满意,非常满意,满意,5.0
25,5,j***h,医生回复得很快，根据医生的治疗方案服药2天，脸上的红疹几乎全先退了。希望以后医生能给出如何停药的相关指导,图文咨询,2025-05-03,非常满意,非常满意,非常满意,5.0
26,5,u***x,好的医生没忘记，都买好票了，没有作文次数了，只能这样回复你了,图文咨询,2025-04-05,非常满意,非常满意,非常满意,5.0
27,5,3***c,用药精确，治疗效果非常好！,图文咨询,2025-03-10,非常满意,非常满意,非常满意,5.0
28,5,j***7,感谢您利用宝贵的休息时间为我答疑解惑，您和蔼可亲，对患者就像对待亲人一样耐心，谢谢您！祝您事事顺心！,视频咨询,2025-01-15,非常满意,非常满意,非常满意,5.0
29,5,风***球,刘孟国医生医术精湛，不厌其烦的解答问题，病已经彻底好了，向您表示衷心的谢意，祝您工作顺利！,图文咨询,2024-12-23,非常满意,非常满意,满意,5.0
30,5,3***a,感谢您利用宝贵的休息时间为我答疑解惑，您和蔼可亲，对患者就像对待亲人一样耐心，谢谢您！祝您事事顺心！,图文咨询,2024-12-23,非常满意,非常满意,非常满意,5.0
31,5,阿***5,感谢您利用宝贵的休息时间为我答疑解惑，您和蔼可亲，对患者就像对待亲人一样耐心，谢谢您！祝您事事顺心！,图文咨询,2024-11-29,非常满意,非常满意,满意,5.0
32,5,黄***饼,有问必答，非常满意，感谢，用药两天病情好转,图文咨询,2024-10-05,非常满意,非常满意,满意,5.0
33,5,j***y,专业细心,图文咨询,2024-08-11,非常满意,非常满意,非常满意,5.0
34,5,灵***9,持续复诊，疗效明显,图文咨询,2024-05-31,非常满意,非常满意,非常满意,5.0
35,5,j***o,感谢刘大夫百忙中抽时间来回复，非常细心地回答问题，并贴心地开了处方，非常感谢！,图文咨询,2024-05-04,非常满意,非常满意,非常满意,5.0
36,5,皇***子,一语就道破了我的病症，给的药用了一天，就基本好了,图文咨询,2024-04-06,非常满意,非常满意,非常满意,5.0
37,5,j***0,刘大夫回复质量非常高，回答问题十分细致且专业，一一解答了我的困惑，开具处方时连服用时间都备注清楚，非常感谢医生的帮助。,图文咨询,2024-03-28,非常满意,非常满意,满意,5.0
38,5,灵***9,就诊方便，大夫的诊疗过程很简练，但很有效。我过敏引发湿疹爆发，后背奇痒，影响工作睡眠，脸上热烫红疹子，很崩溃。刘大夫看了我的详细病情描述和患处图片，明确诊断并开药，吃了第二天就开始有好转，最先好的是脸，吃完三天基本能耐受了，一周后工作日常生活正常。两周后基本痊愈。总之，方便、高效，疗效好！,图文咨询,2024-03-27,非常满意,非常满意,一般,5.0
39,5,y***2,答复非常好,图文咨询,2024-03-15,非常满意,非常满意,非常满意,5.0
40,5,j***9,千万别找他跟没说一样,图文咨询,2024-03-02,满意,满意,非常满意,5.0
41,5,u***9,医生看了一眼图片就知道是怎么回事，开了两个药，涂一次就好了！态度也好，真的太赞了！,图文咨询,2023-12-29,非常满意,非常满意,满意,5.0
42,5,j***y,医术高超，专业细致,图文咨询,2023-12-13,非常满意,非常满意,一般,5.0
